buuid,txn_vol,accepted_txn,failed_txn,capital_granted
1504592502465-a22d6398-25cc-4f47-88b0-e00215ed26a1,37725.0,127,17,1
1508927458423-2721990d-692a-468a-9170-be0176506b07,256947.0,1548,796,1
1475696677780-b9405ceb-c54d-4326-946f-25a0f701c39b,65889.0,205,47,1
1509659815413-f30e5f4a-1458-42f5-bc58-71c1105a6cac,37270.5,81,1,1
1519037608104-eaf72a23-6046-483d-9f02-955ded4d7298,137840.65,1616,590,1
1519639581263-844fcc06-65ef-499b-a9fc-02c279c6a8d2,133416.09,219,74,1
1522036496173-47cae43c-0f9c-4fa1-a593-d42e6cbcd235,20795.0,121,33,1
1522082408908-e668b3b6-dab3-4625-ba24-beb06cff2aa6,58641.55,128,26,1
1523524025309-110c186d-cdd3-49a8-a6d6-79049dd17fe9,56090.0,517,61,1
1523987645648-01979a02-9b37-4ce9-b52a-c51a4f025e94,156458.83000000002,1336,509,1
1525945435922-f7c3b824-58ec-4ba0-9eb1-319a23e318f1,22490.0,73,32,1
1526028447216-7e3ee637-d192-4117-94a6-2c335156c92d,76420.0,648,84,1
1529324502011-930752a8-27fe-4720-a813-3bdb11f2290a,15226.5,56,17,1
1529945480898-1c36107e-336c-4fcf-91e2-8f3fcf581fbd,35915.0,144,13,1
1448352746164-5b023087-c530-4c30-8e05-a74629d0f7b3,16810.0,29,0,1
1466407484697-a2f8fb2a-a8c7-4124-8374-97576198dade,28685.12,29,2,1
1469340864705-80f6be41-0b5a-47ce-8bb3-812ca81f4827,118210.15,125,17,1
1476199377969-e170998a-0bf9-430d-8623-804d56bf9e92,111129.9,276,70,1
1477899670049-14420cce-179a-429b-bb22-37b37463201f,50763.0,185,12,1
1478233881346-4ac5cafa-3d3d-4a9c-97be-35bc1f1469b7,31737.0,81,13,1
1479931223486-6a264cf9-0f6f-4627-8f36-f6c19243181d,93135.16,1364,142,1
1481975620232-cae2f9d9-b8e3-4952-a7b6-6e2e49dbf7bc,388966.47,1709,250,1
1483547333199-ce963a9c-4662-443e-9d52-8a4291ceb81f,32990.0,149,21,1
1486986493791-1b316aa5-4069-42c5-91c1-375fecc3760e,31425.28,444,120,1
1487445065259-1f4f1655-4c39-4023-957d-3c514ad7624a,25985.0,28,11,1
1490349994392-b00db1cf-ebe1-435f-bd06-175fbcf2a3a2,122300.0,208,42,1
1491851495442-1f98f2c7-e02f-4fb2-b8de-782e2c45c6af,96501.5,255,30,1
1496345054790-c3f5a41e-6cd5-49b2-bd09-3f42b2879a30,44159.0,105,21,1
1498892475754-a24fa124-c182-4254-bb73-92aea25f378e,94788.5,124,36,1
1498922918920-767528bd-2084-43a2-b787-0ec01e89aec4,270502.05,1346,204,1
1499415350254-48711987-a6dd-43e2-b368-7fe77f004432,61994.99,87,26,1
1500281856754-73a00f43-b048-4d95-843d-d5a0b156da05,34610.0,93,12,1
