txn_vol,accepted_txn,failed_txn,capital_granted
12012.0,41,19,1
266963.48000000004,1232,222,1
34522.6,87,8,1
15234.0,194,90,1
308209.85,316,39,1
43403.0,159,28,1
97407.7,1450,207,1
11722.0,62,17,1
618684.23,3589,1123,1
59069.3,205,37,1
336709.32,1572,901,1
363760.84,462,189,0
119763.0,380,74,1
191286.0,306,36,0
762577.95,2605,490,0
40782.5,77,6,1
28585.0,296,112,1
135436.0,821,465,1
2455888.0,3420,385,0
318559.0,850,105,1
320741.0,1859,955,1
75731.85,141,27,1
23928.0,85,19,1
49071.0,62,12,1
25809.03,216,186,1
463010.0,173,51,1
48300.0,31,5,1
314635.98,90,21,1
142411.0,442,331,1
62630.0,118,29,1
42203.0,82,10,1
118870.0,148,10,1
26360.0,58,12,1
38404.0,361,118,1
121190.0,281,29,1
47722.7,311,156,0
539276.5,400,110,1
43792.5,751,248,1
52364.0,180,31,1
81624.0,294,64,1
224770.0,1158,115,1
77316.0,400,74,0
35969.0,201,56,1
36145.0,226,63,1
35423.0,445,268,1
19259.02,48,8,1
34707.100000000006,24,4,1
72630.0,101,10,1
48025.0,449,78,1
62708.5,197,24,1
55222.21000000001,228,88,1
20395.5,734,182,1
39982.0,49,1,1
701155.7899999999,3037,252,1
131310.0,124,40,1
287122.0,330,46,1
26476.5,66,13,1
19296.5,44,16,1
90636.0,149,15,1
135435.5,253,5,1
399427.5,2405,458,1
37220.0,63,3,1
94788.5,124,36,1
88645.0,201,39,1
111023.21,871,99,1
28285.23,171,75,1
81756.59,39,3,1
75176.0,108,23,1
30400.0,44,18,1
21638.0,111,22,1
35215.0,87,16,1
101549.0,144,23,1
37338.32,304,94,1
31565.0,48,4,1
13490.0,227,21,1
65737.81,1509,278,0
56049.5,317,81,1
28884.74,188,54,0
85327.0,1692,248,1
33794.0,213,51,1
30745.0,270,72,1
101006.0,69,47,1
94920.0,232,14,1
53540.0,187,10,1
64450.0,444,43,1
158892.5,88,17,0
305087.0,1683,113,1
2478965.3599999994,3833,527,1
263848.0,1370,572,1
78840.0,571,36,1
63213.82,2081,398,1
114697.99,114,10,1
56587.1,184,14,1
69860.0,46,9,1
103083.0,219,15,1
19550.99,73,40,1
32800.0,69,5,1
221761.63000000003,1680,231,1
12380.0,64,3,1
2511.0,7,4,1
97490.0,365,45,1
16149.0,198,64,1
14308.52,128,74,1
86154.0,312,48,1
39295.0,781,88,1
77870.76999999997,712,280,1
280052.6,2524,1078,0
27089.0,375,20,1
120895.75,957,361,1
13374.85,33,5,0
45885.0,180,14,1
227756.0,161,55,1
132198.0,453,87,0
72141.9,433,51,1
572669.25,1902,176,1
29932.0,174,63,0
276259.9,449,25,1
13773.0,42,0,1
91777.6,330,60,1
54362.43,94,9,1
96501.5,255,30,1
10748.02,96,57,1
516608.6,112,10,1
57103.0,178,6,1
76367.06,1680,343,1
63295.0,413,115,1
123850.0,180,43,0
29041.2,65,17,1
47841.0,177,21,1
145700.0,392,158,1
50578.5,147,14,1
44109.0,384,42,0
350641.15,2054,879,1
255277.0,2609,850,1
126524.6,1054,466,1
37828.0,60,28,1
30069.0,113,36,0
72762.65,141,108,1
234621.47,2464,1012,1
105051.5,773,515,1
10015.0,123,11,1
214660.0,148,46,1
71029.0,43,1,1
261845.5,1137,205,1
168923.3,1051,86,1
12639.25,59,13,1
113547.08,925,403,1
177545.36000000002,630,40,1
24367.5,426,198,1
56171.2,112,12,1
22805.2,572,245,1
619176.5,329,81,1
117339.99,45,8,1
117032.0,50,28,1
20766.0,66,9,1
81130.0,590,58,1
24860.95,42,14,1
66360.92000000001,330,89,1
56587.1,184,14,1
215175.8,2108,143,1
41210.0,62,23,1
35980.0,148,44,1
843883.65,1886,478,1
38543.0,90,31,1
46105.0,85,4,1
1669310.4,16368,1048,0
43570.0,41,10,1
92595.0,550,65,1
216717.68,90,14,1
33545.0,199,83,1
43159.0,210,32,1
30069.0,113,36,1
159750.0,205,87,1
42872.0,103,24,1
87282.0,194,80,1
15021.0,248,117,1
313110.0,378,24,0
28760.0,56,15,1
95406.0,397,102,1
136015.0,256,73,1
43923.5,100,39,1
42035.0,124,15,1
69190.02,353,91,1
31425.28,444,120,1
22840.0,76,4,1
16185.0,29,0,1
234177.0,274,36,1
79639.0,610,365,1
300782.55,1473,146,1
90129.35,718,214,1
173032.0,70,4,1
65064.0,764,166,1
198057.98,542,64,1
43398.0,370,340,1
89814.0,214,64,1
56090.0,517,61,1
52601.0,146,65,0
131928.78999999998,637,177,1
9417.0,72,53,1
38952.0,95,14,0
12215.5,143,24,1
22237.25,560,109,1
77095.98999999999,113,34,1
26700.0,111,8,1
96218.5,243,34,1
659949.98,137,73,1
154070.0,148,36,1
15045.0,53,17,1
451923.9,893,203,1
28930.0,381,101,1
24720.2,169,20,1
232630.0,423,72,0
57275.0,46,20,1
227649.0,746,100,1
142990.0,192,68,1
31088.5,414,245,1
122100.08,105,44,1
70589.21,290,87,1
51786.93,123,17,1
105500.0,114,18,1
41007.0,228,60,1
1167131.3,3768,468,0
112176.55,584,70,1
19488.0,89,5,1
24140.0,61,2,1
23312.9,137,19,1
10860.0,41,3,1
23571.0,63,8,1
47884.5,249,42,1
58059.0,136,36,1
49350.0,144,12,1
101035.31,316,33,1
64360.35,29,0,1
102560.0,95,19,1
405718.5,330,44,0
